b,a,c,d
0.4783499836921692,100,0.78,0.0
0.3009589612483978,150,0.73,0.0
0.2997075021266937,200,0.74,0.0
0.24862471222877502,250,0.67,0.0
0.1900131106376648,300,0.6,0.0
0.18716339766979218,400,0.6,0.0
0.12116958945989609,500,0.61,0.0
0.10918215662240982,750,0.51,0.0
0.062457747757434845,1000,0.53,0.0
0.030753444880247116,2000,0.41,0.0
0.012121533043682575,4000,0.53,0.0
0.015350505709648132,8000,0.53,0.0
