b,a,c,d
0.4783499836921692,100,0.6083612040133779,0.0
0.3009589612483978,150,0.7461538461538462,0.0
0.2997075021266937,200,0.7822742474916388,0.0
0.24862471222877502,250,0.8331103678929765,0.0
0.1900131106376648,300,0.8608695652173913,0.0
0.18716339766979218,400,0.8585284280936455,0.0
0.12116958945989609,500,0.9137123745819398,0.0
0.10918215662240982,750,0.9220735785953177,0.0
0.062457747757434845,1000,0.942809364548495,0.0
0.030753444880247116,2000,0.9705685618729097,0.0
0.012121533043682575,4000,0.9872909698996656,0.0
0.015350505709648132,8000,0.9832775919732442,0.0
