a,b,c,d
0.264938,10,0.06046264595599501,0.6843269467353821
0.3901379999999999,20,0.06247143472019832,0.5568130612373352
0.5276270000000001,50,0.05293004223501055,0.4029206931591034
0.563853,100,0.06324672711690305,0.2172987163066864
0.6923339999999999,200,0.030177750810820872,0.2510627508163452
0.74846,500,0.01568440626864785,0.1788976490497589
0.776579,1000,0.014876621222576046,0.11742992699146271
0.809717,2000,0.012022371271924683,0.1012505516409874
0.8435479999999999,5000,0.007422930418641952,0.07565470039844513
0.8625079999999999,10000,0.006304358492344799,0.060984957963228226
