a,c,b
7.707261298575981,7.619047619047619,21
5.961704055589524,4.0,40
5.292475556089114,2.6666666666666665,60
5.00869550895722,2.0,80
4.799220885699102,1.6,100
4.691020589650119,1.3333333333333333,120
4.560085858443216,1.1428571428571428,140
