a,c,b
0.5396589780796028,7.619047619047619,21
0.516914461879089,4.0,40
0.5085811276903259,2.6666666666666665,60
0.5044144605959444,2.0,80
0.5019144603393155,1.6,100
0.5002477935015629,1.3333333333333333,120
0.49905731718888247,1.1428571428571428,140
